"gene","p-adj-Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","p-adj-Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","p-adj-Current smoker-Current reformed smoker for < or = 15 years","p-adj-Current smoker-Current reformed smoker for > 15 years","p-adj-Current smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current reformed smoker for < or = 15 years","p-adj-Lifelong Non-smoker-Current reformed smoker for > 15 years","p-adj-Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","p-adj-Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.970670863972456,0.359415510200143,0.234297301758854,0.342725624996795,0.104203135817649,0.817503718086082,0.99663991805297,0.841939669518224,0.423205576227531,0.457520649049719,467.585345714286,503.104967647059,208.0012,361.175212121212,449.25563,41.0341089457407,42.1777583127499,30.7811924080815,30.7632979370334,36.8163682374478,298.3845,303.1859,182.53495,228.0031,272.64705,572.8875,703.9662,235.7081,429.47,546.05545,346.562018181818,458.327794021739,402.7027,393.4047,230.0119,456.59735,265.57645,562.900325,44.4471130456694,20.1932601206465,1.32249862932552,0.97691100655645,0.403266227090677,-0.033700951575462,"ESCA"
"ZNF263",0.999995092229498,0.316342038860368,0.332076671343704,0.99227441495108,0.996050542429495,0.419112062133237,0.667695179651511,0.720027446003903,0.604737548849894,0.917304164498204,581.856222857143,579.220361764706,396.9465,564.749572727273,534.39544,30.0080988972039,27.702256017525,76.7222343153752,29.6673773319285,20.0583794729004,462.5496,474.497675,325.5364,460.3187,440.669425,710.68405,703.3031,456.94505,631.8418,616.426325,611.928563636364,561.544527717391,597.6276,546.8631,533.4648,695.45545,457.2241,648.1739,37.5965670158116,11.5323268011609,0.917663533109867,0.915056633930561,-0.12396281716753,-0.12806705863572,"ESCA"
"ZNF200",0.913223508139279,0.318055172860288,0.522949807483534,0.775765024257801,0.998030126286849,0.604774054339661,0.572261890167891,0.981755031398816,0.64226139677947,0.999562483132487,260.063871428571,242.058373529412,159.5292,235.467193939394,231.339194,16.5137005273475,14.6386291720203,16.9365534750531,12.7173297796925,13.0041524170235,201.44215,172.0975,143.3573,199.1809,166.723525,272.2548,303.027075,171.9726,261.301,282.207475,163.809936363636,236.488877717391,151.8781,218.502,141.59485,180.9971,176.734675,273.917825,10.2970902117785,6.25294304570726,1.44367846644185,1.43866693091367,0.529749463469757,0.524732629091668,"ESCA"
"ZNF582",0.898691024675418,0.693662091379796,0.881747660999151,0.999122078612099,0.969603248789296,0.755525836181927,0.969574331244554,0.997045570849916,0.817679685607953,0.996734343970753,9.62341714285714,12.9784058823529,21.7787333333333,10.5707060606061,11.795446,1.89541620882603,3.63116924070627,9.51808001022849,2.49148808362995,2.04574976949914,3.54675,2.570175,12.45595,2.9107,3.2244,12.7196,13.356475,28.10135,11.0742,12.181975,40.7932909090909,10.8377315217391,33.6081,6.3796,24.40525,56.66655,3.103225,12.675,7.31507103919342,1.07469719123867,0.265674361646658,0.189823286648159,-1.91226908463481,-2.39727110847638,"ESCA"
"ZNF285",0.990851856691768,0.96982818054547,0.991653758219942,0.999975397815452,0.996742495383901,0.976614635946181,0.791372316409224,0.971298952213568,0.999471517554679,0.855713606855933,12.4417885714286,14.8330735294118,20.6717666666667,12.9776757575758,17.832562,2.86592938060846,4.81731908597159,4.86838977908621,2.41575784518101,3.40391248565516,2.69545,2.4943,16.16575,2.5726,3.522225,14.8067,15.48895,24.52095,19.3618,21.77095,47.5942818181818,14.3908494565217,53.2275,6.5676,40.63625,58.28345,2.828425,18.65065,5.01255549647479,1.51747223942938,0.302365093174369,0.123387346766239,-1.72563649901569,-3.01873363956995,"ESCA"
"ZNF275",0.916081015237073,0.477004632704451,0.693973941598281,0.948959034313159,0.999970477521601,0.668095523929434,0.37695237924899,0.907353424025746,0.860430082458775,0.864476018552681,844.622865714286,773.953979411765,502.766633333333,783.005839393939,706.754382,63.6016308791211,55.1308768340696,174.844196568643,65.9076528375874,45.6527014758537,590.87165,617.14605,329.97965,535.4144,447.5549,1086.9848,1009.81885,612.31965,983.7124,854.0827,910.223281818182,782.321395108696,1038.0469,729.8039,753.1412,1088.01435,503.861625,991.9197,106.198723900125,27.4485625787105,0.859482954057162,0.703054842705084,-0.218459067564553,-0.508290861901652,"ESCA"
"ZNF37A",0.999999999325277,0.341335137075604,0.340904532639294,0.486470917390521,0.489127592863796,0.74713416327566,0.978924590076943,0.978501170903751,0.452916940003896,0.756360108669479,555.462394285714,555.850711764706,309.862433333333,469.323566666667,527.844864,33.78328684973,42.8948297677276,29.8385997412933,39.1066126332283,29.6413945944459,416.6246,355.4626,283.7384,291.9408,374.317075,691.4094,725.771725,335.41075,599.131,680.816225,749.920454545455,527.392183695652,840.2654,510.93345,699.43045,886.98805,350.03665,688.249975,75.4831816578036,16.5900986754348,0.70326416688463,0.608061988509821,-0.507861384726217,-0.717709689052242,"ESCA"
"ZNF510",0.64055974848702,0.443087673742718,0.787179467642097,0.791249140255911,0.999250991026382,0.732635411017897,0.672311589855237,0.999779845822304,0.74147302183905,0.999986808879251,371.699088571429,321.070426470588,216.9272,330.021672727273,327.046736,38.9004064396783,17.5676601541487,2.05127250993133,23.2281735515497,17.5948417782042,258.5664,251.35775,215.78975,232.3635,238.498075,416.51795,399.934325,218.97425,425.2588,403.319175,396.509354545455,330.447995108696,442.5694,304.4528,324.8413,468.67725,233.983825,402.934075,38.0106187710567,11.0398100472202,0.833392683730023,0.6879210356613,-0.262931660064976,-0.53968512298026,"ESCA"
"ZNF506",0.994754680735948,0.744253495493691,0.648220497524832,0.49825826390515,0.280144415841006,0.979922507310837,0.990609886762548,0.901559808742946,0.82859923825069,0.703723855308805,470.905768571429,502.927073529412,226.064766666667,340.383418181818,436.78158,43.037694565685,72.8483503522049,42.1125420545682,39.8436849859711,53.6811540764065,324.8546,275.665025,184.4688,208.7287,223.269,600.24645,684.453925,252.5576,437.9112,530.2218,583.9135,423.868583695652,647.4381,345.04335,481.54185,693.27295,237.583575,530.83755,50.0977064995867,24.346893294315,0.725909888529127,0.532936430525173,-0.462137625785985,-0.907964638517552,"ESCA"
"ZNF324",0.637271318654566,0.992736552894465,0.861712551488461,0.999999996939665,0.656913093895986,0.992521983695761,0.887840912765216,0.976786852204665,0.936499539294161,0.898436929980221,231.0841,186.869576470588,265.435566666667,230.738815151515,204.159974,28.1253128355759,11.0074058314272,53.8411407244291,33.3682856889836,12.127888060586,165.59325,141.7599,225.92315,166.4468,152.245925,234.10265,231.87105,316.86555,237.9595,247.71575,238.520554545455,212.251344021739,212.2093,186.8305,198.8786,260.3844,155.802725,246.263675,22.1471064109035,9.12578021452273,0.889866051276896,0.880406749374321,-0.168339906788403,-0.183757889626614,"ESCA"
