"gene","p-adj-T1a-T1","p-adj-T1b-T1","p-adj-T1b-T1a","p-adj-T2-T1","p-adj-T2-T1a","p-adj-T2-T1b","p-adj-T2b-T1","p-adj-T2b-T1a","p-adj-T2b-T1b","p-adj-T2b-T2","p-adj-T3-T1","p-adj-T3-T1a","p-adj-T3-T1b","p-adj-T3-T2","p-adj-T3-T2b","p-adj-T3a-T1","p-adj-T3a-T1a","p-adj-T3a-T1b","p-adj-T3a-T2","p-adj-T3a-T2b","p-adj-T3a-T3","p-adj-T3b-T1","p-adj-T3b-T1a","p-adj-T3b-T1b","p-adj-T3b-T2","p-adj-T3b-T2b","p-adj-T3b-T3","p-adj-T3b-T3a","p-adj-T4-T1","p-adj-T4-T1a","p-adj-T4-T1b","p-adj-T4-T2","p-adj-T4-T2b","p-adj-T4-T3","p-adj-T4-T3a","p-adj-T4-T3b","mean-T1","mean-T1a","mean-T1b","mean-T2","mean-T2b","mean-T3","mean-T3a","mean-T3b","mean-T4","SEM-T1","SEM-T1a","SEM-T1b","SEM-T2","SEM-T2b","SEM-T3","SEM-T3a","SEM-T3b","SEM-T4","Q1-T1","Q1-T1a","Q1-T1b","Q1-T2","Q1-T2b","Q1-T3","Q1-T3a","Q1-T3b","Q1-T4","Q3-T1","Q3-T1a","Q3-T1b","Q3-T2","Q3-T2b","Q3-T3","Q3-T3a","Q3-T3b","Q3-T4","count-T1","count-T1a","count-T1b","count-T2","count-T2b","count-T3","count-T3a","count-T3b","count-T4"
"ZNF195",0.929167631047481,0.99971012543938,0.49636605172261,0.946117554348679,0.999979789549492,0.285935272507004,0.874638283998659,0.999999999746656,0.345454875496582,0.999762199753784,0.999759386712654,0.999999918616304,0.99377587837649,1,0.999999406322435,0.771798448646293,0.99999999992204,0.112866123229017,0.998762771748491,1,0.999999465705276,0.999998827086103,0.940320480232712,0.999999999732485,0.964846619826536,0.909542602582491,0.998859879626715,0.875625713385214,0.792323570918363,0.999284814657603,0.448795233406845,0.985683830862706,0.999630178594209,0.999474028297021,0.999185735462932,0.810176535618623,385.62944,305.44334,415.454454545455,325.007021052632,299.7918,326.5521,301.247857142857,408.2309,253.1328,19.194631703307,23.3929675911074,25.5254837348317,19.0047360106295,52.0602302794049,NA,34.2257100226605,54.7621,109.8058,358.1434,278.034,339.9619,290.0964,209.04505,326.5521,212.828525,380.84985,198.2299,422.8909,331.1963,477.80715,376.6111,408.089525,326.5521,366.47975,435.61195,308.0357,5,5,11,19,6,1,14,2,2
"ZNF263",0.0972286325166262,0.753695455893994,0.692812778818218,0.999994648178451,0.032824176585229,0.581384360614853,0.999999998020673,0.0520062134116674,0.592548982438509,0.999845884486576,0.703464978807117,0.999999999994315,0.986000475266388,0.73085208502812,0.642908068631135,0.931201367740714,0.358416820098738,0.999594669914047,0.883167377669875,0.838332685676224,0.94826487799409,0.313761068058,0.999999991667832,0.888658648981306,0.276116308437051,0.239262826510873,0.99999999999908,0.713442658667912,0.742514221331633,0.999811979341975,0.998960792028741,0.750015023676135,0.658836684508639,0.999970730921371,0.984614429134602,0.999691721219256,955.8018,590.72114,778.495481818182,922.967752631579,970.3685,578.0428,824.933385714286,566.6145,677.68325,22.9787661996026,90.4622338486818,51.9155807958858,46.6165331507421,83.3399236592683,NA,57.2199292968928,130.7898,203.61605,933.5531,497.6846,721.3357,754.5142,806.41895,578.0428,714.2721,501.2196,575.875225,952.4575,767.9974,865.45725,1105.0718,1113.270275,578.0428,963.395,632.0094,779.491275,5,5,11,19,6,1,14,2,2
"ZNF200",0.997009040948745,0.995565067096623,0.719433900269478,0.963622025914443,0.464233404544184,0.99999267697184,0.99999921149989,0.975306152973412,0.999706485599525,0.992431500356842,0.993031294821822,0.999960767579495,0.910280428492982,0.848177974245987,0.979724566500058,0.998830523579792,0.999999163353582,0.557652870003181,0.190309314175676,0.978293488629297,0.999590989636152,0.999944549137704,0.999999995485263,0.975882911544481,0.931194753523973,0.999099554244948,0.999913070650394,1,0.999999980747434,0.997647501195474,0.999978183703082,0.999584735758444,1,0.991988647061862,0.999161073951717,0.999850898184279,182.31764,164.47228,198.4333,203.207463157895,188.0578,147.3167,169.448342857143,168.608,187.2801,10.6252866201152,18.7209392964242,12.0394840211319,8.09326981912132,5.35785968193768,NA,11.4865843191076,8.54689999999999,18.312,160.7617,135.4178,175.4357,188.3478,179.81205,147.3167,140.13485,164.33455,178.1241,203.6119,161.3195,208.12315,211.0061,197.39695,147.3167,200.22035,172.88145,196.4361,5,5,11,19,6,1,14,2,2
"ZNF582",0.999999992234717,0.999999955379239,0.999991738747577,0.999999999999462,0.999999724923504,0.999999908795108,1,0.999999968842207,0.999999976486667,1,0.999999972150523,0.999999339724631,0.999999999887495,0.99999998316036,0.999999982344888,0.999999999999182,0.999999996888366,0.999997405574807,0.999999996061983,0.999999999953891,0.999999884382744,0.965031845497471,0.940763477171755,0.969654589465024,0.940236354120578,0.962766116126672,0.99937689062422,0.928575068583984,0.15267330436208,0.192165941175963,0.0644134724278316,0.0636418954690153,0.12711304679121,0.526201523082279,0.0842482315551615,0.045837937595138,68.33268,66.05896,70.7487181818182,68.8915421052632,68.6514666666667,72.9569,67.7287714285714,91.79875,11.6759,14.8291896990496,11.4388370128523,5.9929068945306,5.8237228075619,7.4774322737005,NA,5.74169285726692,41.90385,6.4162,47.7093,41.3902,57.65025,50.3046,56.00415,72.9569,58.09715,70.846825,8.4678,92.2823,85.2234,78.0828,85.58,72.964675,72.9569,86.741425,112.750675,14.884,5,5,11,19,6,1,14,2,2
"ZNF285",0.999998344425394,0.999990250741252,1,0.999999593340612,0.999999998237446,0.999999924134188,0.998322267298175,0.999970296579777,0.999923035338665,0.998977702618632,0.996669025385615,0.9880913175451,0.982586909628041,0.987652227692504,0.951866723331876,0.999999998752934,0.999931324399387,0.999314862143925,0.999851662672282,0.982800500992649,0.997011936536017,1,0.999999636847557,0.999998842690059,0.999999949331895,0.999750243066737,0.998672394129305,0.999999999995098,0.500086923422677,0.363940599552082,0.24860238770067,0.255054358112676,0.186568001231779,0.998467894256486,0.40964181921513,0.732153221751985,75.60718,81.90534,82.3477727272727,79.7947736842105,90.6472666666667,45.598,73.5123928571429,75.03395,15.56445,18.6660614537025,18.0180837270393,13.4251299063232,7.94065848951249,3.68343484252282,NA,7.98483985126694,7.47965,1.85835,42.9876,82.7803,65.1783,68.1476,90.24585,45.598,47.0512,71.294125,14.635275,105.8317,98.6635,92.61125,90.79505,91.663975,45.598,94.571125,78.773775,16.493625,5,5,11,19,6,1,14,2,2
"ZNF275",0.280317342256534,0.999986305270954,0.258419551519041,0.999999999991787,0.0621742057821604,0.999419832712318,1,0.216737089914423,0.999959055403526,1,0.999995446074471,0.719541442133042,0.999794510420543,0.999996263464454,0.999996541425338,0.998756793617896,0.370617070000718,0.999984082305322,0.970774238781627,0.997247249920376,0.998693715245728,0.999405771426953,0.946810154661759,0.999973208282387,0.997892293206479,0.999100320980209,0.998327403513275,0.999999842611895,0.268923493160165,0.999417702943945,0.292348368978108,0.132173452831052,0.230666192177602,0.56320007235097,0.384095339698082,0.828771992049229,1668.77394,721.82404,1544.14565454545,1687.85343684211,1679.34565,1888.4602,1449.21751428571,1350.38025,404.31255,289.302913094102,231.272508097717,163.275085997897,159.682192191347,219.259629468462,NA,164.542272276385,322.78025,13.45065,1094.0355,346.0091,1149.5331,1185.8818,1383.82825,1888.4602,1218.0361,1188.990125,397.587225,2213.881,1260.8247,1906.02365,2092.8686,2121.6721,1888.4602,1652.08335,1511.770375,411.037875,5,5,11,19,6,1,14,2,2
"ZNF37A",0.826107850856571,0.99968070250563,0.941845111978385,0.972198244583379,0.994434328691315,0.999242405303965,0.999999999999681,0.765369544183052,0.999093335077985,0.945142676659792,0.983495686209713,0.99999999899514,0.997435197224098,0.999792987895519,0.979142838595564,0.997686733878249,0.966736444142052,0.999999877890306,0.999942708898295,0.994331652958019,0.998748858696529,0.879463343993908,0.999999214028579,0.96143389274722,0.993588640869632,0.84988184485494,0.999999999950035,0.976259764591936,0.775222062980295,0.999922036647022,0.896626466413624,0.970228548567918,0.732483803399173,0.999999784058996,0.925999556039145,0.999999964345087,264.50086,427.02722,315.566454545455,355.917863157895,260.156083333333,447.5623,329.376878571429,463.3287,492.6777,44.5195161203443,67.1423800298247,26.4219017937026,46.240594317858,48.0826204892885,NA,45.9061154424281,27.1689,268.9935,235.4253,334.3877,266.0377,240.73595,168.660225,447.5623,215.847475,449.74425,358.18095,331.0907,488.1017,376.03445,445.3273,337.7808,447.5623,376.747725,476.91315,627.17445,5,5,11,19,6,1,14,2,2
"ZNF510",0.999998825559422,0.999999989953865,0.999921267134878,0.999999994942617,0.999906108813199,1,0.999999999012757,0.99997828460028,1,1,0.999999901526896,1,0.999998286900427,0.999998559292902,0.999999071444336,0.999958351080101,0.999999999572588,0.997352375674546,0.994898544410858,0.999508559302969,1,0.518472237964717,0.385916849990241,0.469317541706702,0.413455883258962,0.540518708030728,0.812053910726812,0.224135906370207,0.991172160417177,0.998500569437435,0.971537835055172,0.968037338664315,0.982129270205617,0.999951405318353,0.998416681979991,0.264479534666868,245.37462,229.14122,252.962254545455,251.861415789474,251.74125,224.8334,224.2091,404.88055,174.0633,43.8517681442881,34.9529808488547,26.1788516063161,16.0918611716306,60.3976324577973,NA,27.6748916486577,70.24205,7.39660000000001,152.0455,209.6502,184.4628,214.51095,183.158475,224.8334,131.802325,369.759525,170.365,331.4448,260.7845,299.22425,275.7256,252.3507,224.8334,318.294475,440.001575,177.7616,5,5,11,19,6,1,14,2,2
"ZNF506",0.323325797740673,1,0.151998765375996,0.999821414080835,0.280208082457469,0.998876415522434,0.999971953377862,0.513070970406172,0.999916912614812,1,0.999800578316134,0.99546018760895,0.999744656694457,0.999996749751527,0.999996909091061,0.992285717677149,0.567422853155527,0.965485781583222,0.99967850473701,0.999952930730007,0.999999998738992,0.999999999066221,0.616869268515623,0.999999996342841,0.999908699243938,0.999967614717149,0.999738125436792,0.997885010593537,0.182510204886516,0.993077282859997,0.112080820431302,0.191060176689196,0.289524834932841,0.91326690340176,0.338734998429181,0.344000571778733,548.38224,381.0865,547.433709090909,518.657915789474,520.315866666667,482.6377,496.118707142857,558.876,298.51285,58.7479911252002,28.7724725490529,34.4629869626464,28.2726936010571,45.3664683648299,NA,26.1681259668572,14.5172,110.47835,420.7415,337.8698,442.69265,446.24845,425.7936,482.6377,426.490625,551.6174,243.273675,623.272,406.8729,626.4393,606.8307,609.2355,482.6377,556.039675,566.1346,353.752025,5,5,11,19,6,1,14,2,2
"ZNF324",0.997174813131432,0.999987732291197,0.933246215740273,0.971700766731165,0.500513052343808,0.990137923681265,0.937835031608684,0.50307565483651,0.970163510257364,0.9999464768592,0.993302073742525,0.999961832145609,0.969828894773729,0.861376282565027,0.801707295568787,0.99999999979502,0.98099614621218,0.999986067857799,0.879596982923213,0.865295015810705,0.98663440196307,0.921813077651308,0.998064247130353,0.746769261398592,0.403002491674803,0.367581370230119,0.999999998867512,0.840354957288877,0.999999970141254,0.999973409575059,0.999947445114551,0.98953021414174,0.96967389009995,0.999012676756823,0.999999350302268,0.988166268646179,229.39504,196.7417,242.795681818182,266.336331578947,280.427533333333,165.2052,232.619285714286,155.8152,219.72015,24.5080358977744,20.6286803665916,14.5399877209265,18.7783127354326,28.3880273616968,NA,17.587506728244,48.1768,1.77105,215.4756,184.7224,220.445,222.3474,229.711825,165.2052,206.950575,131.7268,218.834625,236.1988,206.1919,264.91465,326.80565,334.041725,165.2052,246.528625,179.9036,220.605675,5,5,11,19,6,1,14,2,2
